##
## Structural parameters of Milky Way dwarf spheroidal galaxies
##
## Table 2 of Errani, Penarrubia & Walker 2018, arXiv:1805.00484 
## For references to observed properties (columns 2 - 5), see
## PDF version of the table.
##
## (1)      Name
## (2abc)   V-band luminosity        log10 L/Lsun +err -err
## (3ab)    Half-light radius        Rh/kpc +-err
## (4ab)    Velocity dispersion      sigma/(km/s) +-err 
## (5)      Number of tracer stars
## (6abc)   Enclosed mass            log10 M(<1.8 Rh)/Msun +err - err
## (7abc)   Mean density             log10 rho(<1.8 Rh) / (Msun/kpc^3)  +err -err
## (8abc)   Cusp vmax                vmax/(km/s) +err -err
## (9abc)   Cusp rmax                rmax/kpc +err -err
## (10abc)  Cusp Mtot                log10 Mtot/Msun +err -err    
## (11)     Cusp minimum Chi^2
## (12abc)  Core vmax                vmax/(km/s) +err -err
## (13abc)  Core rmax                rmax/kpc +err -err
## (14abc)  Core Mtot                log10 Mtot/Msun +err -err    
## (15)     Core minimum Chi^2
##
## NB Cuspy models assume {a,b,g}={1,5,1} profiles. 
##    Cored models assume {a,b,g}={1,5,0} profiles. 
##
## (1)              (2a)   (2b)  (2c)   (3a)  (3b)          (4a) (4b)           (5)       (6a)  (6b)  (6c)    (7a)  (7b)  (7c)    (8a)  (8b)  (8c)    (9a)  (9b)  (9c)   (10a) (10b) (10c)   (11)       (12a) (12b) (12c)   (13a) (13b) (13c)   (14a) (14b) (14c)   (15)                    
##
Sagittarius dSph    7.33  +0.18 -0.18   2.62  0.20          11.40 0.70          114       8.7   +0.1  -0.1    6.1   +0.1  -0.1    21.8  +1.4  -1.3    2.0   +1.1  -0.4    8.8   +0.2  -0.1    0.0       21.5  +0.7  -0.8    2.9   +0.1  -0.4    8.9   +0.0  -0.1    0.0       
Fornax              7.31  +0.19 -0.20   0.71  0.08          11.70 0.90          2633      8.2   +0.1  -0.1    7.2   +0.1  -0.1    23.4  +5.5  -2.0    2.3   +2.2  -0.7    8.9   +0.5  -0.2    0.0       31.7  +26.6 -4.0    4.6   +8.8  -0.6    9.4   +1.0  -0.2    0.0       
Leo I               6.74  +0.17 -0.18   0.25  0.03          9.20  0.40          328       7.5   +0.1  -0.1    7.9   +0.1  -0.1    27.9  +4.2  -6.4    3.7   +1.3  -1.8    9.3   +0.3  -0.5    0.0       65.0  +2.4  -0.0    10.7  +0.6  -0.0    10.4  +0.1  -0.0    2.8       
Sculptor            6.36  +0.25 -0.26   0.28  0.04          9.20  1.10          1541      7.5   +0.1  -0.1    7.8   +0.2  -0.2    27.2  +4.9  -9.4    3.9   +1.1  -2.5    9.3   +0.2  -0.8    0.0       65.0  +8.6  -24.8   10.7  +3.7  -4.6    10.4  +0.2  -0.7    0.1       
Leo II              5.87  +0.17 -0.18   0.18  0.04          6.60  0.70          171       7.0   +0.1  -0.1    7.9   +0.2  -0.2    16.9  +9.9  -4.2    1.6   +2.4  -0.7    8.5   +0.8  -0.5    0.0       65.0  +8.6  -46.8   10.7  +3.7  -9.1    10.4  +0.2  -1.9    0.1       
Sextans (I)         5.64  +0.24 -0.24   0.69  0.04          7.90  1.30          947       7.8   +0.1  -0.2    6.9   +0.1  -0.2    15.5  +3.0  -3.5    2.0   +0.5  -1.1    8.5   +0.3  -0.5    0.0       17.2  +3.2  -4.5    2.4   +0.4  -1.1    8.6   +0.2  -0.5    0.0       
Carina              5.58  +0.25 -0.26   0.25  0.04          6.60  1.20          1982      7.2   +0.2  -0.2    7.6   +0.2  -0.2    16.4  +5.5  -6.5    2.1   +1.1  -1.6    8.6   +0.4  -1.0    0.0       29.0  +44.6 -16.0   4.2   +10.2 -3.0    9.3   +1.3  -1.2    0.0       
Ursa Minor          5.45  +0.24 -0.24   0.18  0.03          8.10  1.10          235       7.2   +0.1  -0.1    8.1   +0.2  -0.2    23.4  +16.3 -5.7    2.3   +4.5  -0.9    8.9   +0.9  -0.5    0.0       65.0  +6.1  -24.8   10.7  +2.5  -4.6    10.4  +0.2  -0.7    1.6       
Draco               5.45  +0.14 -0.15   0.22  0.02          9.10  1.20          413       7.4   +0.1  -0.1    8.0   +0.1  -0.1    32.1  +7.7  -11.9   4.9   +1.9  -3.3    9.5   +0.3  -0.8    0.0       65.0  +6.1  -16.7   10.7  +2.5  -3.1    10.4  +0.2  -0.4    1.6       
Canes Venatici (I)  5.37  +0.12 -0.12   0.56  0.04          7.60  0.40          214       7.7   +0.1  -0.1    7.0   +0.1  -0.1    15.3  +1.1  -1.9    1.9   +0.3  -0.9    8.5   +0.1  -0.4    0.0       17.1  +1.4  -2.1    2.2   +0.5  -0.6    8.6   +0.1  -0.2    0.0       
Crater 2            5.21  +0.04 -0.04   1.07  0.08          2.70  0.30          390       7.1   +0.1  -0.1    5.6   +0.1  -0.1    5.9   +0.6  -0.7    0.4   +0.0  -0.1    7.0   +0.1  -0.2    0.0       5.2   +1.4  -0.6    0.9   +3.1  -0.1    7.2   +0.8  -0.1    0.0       
Leo T               5.13  +0.24 -0.24   0.12  0.01          7.50  1.60          19        7.0   +0.2  -0.2    8.4   +0.2  -0.2    37.5  +21.3 -22.4   6.2   +5.0  -5.1    9.8   +0.6  -1.5    0.0       18.2  +55.4 -5.3    1.6   +12.8 -0.4    8.5   +2.2  -0.4    2.0       
Hercules            4.57  +0.19 -0.21   0.33  0.06          3.72  0.91          28        6.8   +0.2  -0.3    6.9   +0.3  -0.3    6.9   +2.0  -1.8    0.4   +0.5  -0.2    7.1   +0.6  -0.6    0.0       8.1   +8.5  -2.7    1.2   +3.0  -0.4    7.6   +1.2  -0.5    0.0       
Bootes (I)          4.46  +0.11 -0.11   0.24  0.02          2.40  0.70          50        6.3   +0.2  -0.3    6.8   +0.2  -0.3    4.4   +1.3  -1.1    0.2   +0.2  -0.1    6.4   +0.5  -0.4    0.0       5.7   +2.8  -2.3    1.1   +2.1  -0.4    7.3   +0.8  -0.6    0.0       
Leo IV              4.27  +0.19 -0.20   0.21  0.04          3.30  1.70          18        6.5   +0.4  -0.6    7.2   +0.4  -0.6    6.4   +4.7  -5.0    0.5   +0.8  -0.4    7.2   +0.9  -1.7    0.0       10.2  +8.2  -7.6    1.8   +2.4  -1.1    8.0   +0.8  -1.6    0.0       
Ursa Major (I)      4.14  +0.16 -0.16   0.32  0.05          7.60  1.00          39        7.4   +0.1  -0.1    7.5   +0.2  -0.2    16.4  +7.1  -3.2    1.5   +2.0  -0.6    8.5   +0.7  -0.4    0.0       24.7  +48.9 -8.0    3.1   +11.3 -1.5    9.0   +1.6  -0.6    0.0       
Leo V               4.03  +0.21 -0.21   0.13  0.03          3.70  1.85          7         6.4   +0.4  -0.6    7.7   +0.4  -0.6    8.1   +8.4  -6.8    0.7   +1.5  -0.6    7.5   +1.1  -2.0    0.0       14.0  +59.6 -11.4   1.7   +12.7 -1.0    8.3   +2.4  -1.8    0.0       
Canes Venatici II   3.90  +0.22 -0.22   0.07  0.01          4.60  1.00          25        6.4   +0.2  -0.2    8.4   +0.2  -0.3    18.2  +10.8 -10.7   2.2   +2.2  -1.9    8.7   +0.7  -1.6    0.0       18.2  +52.9 -5.3    1.6   +11.6 -0.4    8.5   +2.1  -0.4    0.8       
Ursa Major II       3.61  +0.31 -0.34   0.15  0.02          6.70  1.40          20        7.0   +0.2  -0.2    8.1   +0.2  -0.2    23.7  +8.4  -12.4   3.3   +1.7  -2.6    9.1   +0.4  -1.3    0.0       65.0  +8.6  -48.4   10.7  +3.7  -9.1    10.4  +0.2  -2.0    0.6       
Coma Berenices      3.57  +0.27 -0.29   0.08  0.01          4.60  0.80          59        6.4   +0.2  -0.2    8.3   +0.2  -0.2    17.2  +9.6  -8.5    2.0   +2.0  -1.6    8.6   +0.7  -1.3    0.0       18.2  +49.2 -0.0    1.6   +9.7  -0.0    8.5   +2.0  -0.0    1.1       
Willman 1           3.01  +0.42 -0.48   0.03  0.01          4.30  1.80          15        5.8   +0.3  -0.5    9.2   +0.4  -0.5    58.8  +11.3 -54.9   11.3  +3.0  -11.1   10.4  +0.3  -4.2    0.0       18.2  +55.4 -15.7   1.6   +12.8 -0.9    8.5   +2.2  -2.0    1.0       
Bootes II           3.01  +0.38 -0.38   0.05  0.02          10.50 7.40          5         6.9   +0.4  -0.7    9.5   +0.5  -0.8    63.0  +7.1  -61.7   8.9   +5.3  -8.8    10.4  +0.3  -4.9    0.1       18.2  +55.4 -15.7   1.6   +12.8 -0.9    8.5   +2.2  -2.0    0.3       
Segue II            2.93  +0.16 -0.16   0.03  0.00          3.40  1.85          5         5.8   +0.4  -0.6    8.8   +0.4  -0.6    22.0  +36.9 -20.6   3.1   +8.2  -3.0    9.0   +1.4  -3.6    0.0       18.2  +55.4 -15.7   1.6   +12.8 -0.9    8.5   +2.2  -2.0    0.3       
Segue (I)           2.53  +0.39 -0.41   0.03  0.01          3.90  0.80          24        5.8   +0.2  -0.2    9.0   +0.3  -0.3    37.5  +21.3 -28.8   6.2   +5.0  -5.9    9.8   +0.6  -2.5    0.0       18.2  +49.2 -7.7    1.6   +9.7  -0.5    8.5   +2.0  -0.7    3.4       
